ppm,700K,720K,740K,760K,780K,800K,820K,840K,860K,880K,900K,,
5.705705706,0.003154819,0.003139294,0.003123768,0.003108347,0.003093038,0.003077846,0.003062775,0.00304783,0.003033013,0.003018329,0.003003779,,0.003078075
5.855855856,0.003167277,0.003151781,0.00313628,0.003120883,0.003105595,0.00309042,0.003075365,0.003060433,0.003045627,0.003030952,0.003016409,,0.003090645
6.006006006,0.003179856,0.003164386,0.003148908,0.003133531,0.003118261,0.003103103,0.003088061,0.00307314,0.003058344,0.003043675,0.003029138,,0.003103323
6.156156156,0.00319256,0.003177112,0.003161655,0.003146296,0.003131041,0.003115896,0.003100866,0.003085954,0.003071166,0.003056503,0.003041969,,0.003116112
6.306306306,0.003205391,0.003189963,0.003174522,0.003159178,0.003143937,0.003128803,0.003113782,0.003098878,0.003084095,0.003069436,0.003054904,,0.003129016
6.456456456,0.003218352,0.00320294,0.003187513,0.003172182,0.003156951,0.003141826,0.003126812,0.003111914,0.003097134,0.003082478,0.003067946,,0.003142035
6.606606607,0.003231445,0.003216046,0.003200631,0.003185309,0.003170086,0.003154968,0.003139959,0.003125064,0.003110286,0.00309563,0.003081098,,0.003155174
6.756756757,0.003244672,0.003229283,0.003213876,0.003198561,0.003183344,0.00316823,0.003153224,0.003138331,0.003123553,0.003108895,0.003094361,,0.003168434
6.906906907,0.003258036,0.003242654,0.003227253,0.003211942,0.003196728,0.003181616,0.00316661,0.003151716,0.003136937,0.003122276,0.003107737,,0.003181817
7.057057057,0.003271538,0.00325616,0.003240762,0.003225453,0.003210239,0.003195127,0.00318012,0.003165223,0.00315044,0.003135774,0.003121229,,0.003195326
7.207207207,0.003285181,0.003269804,0.003254405,0.003239095,0.00322388,0.003208765,0.003193754,0.003178853,0.003164064,0.003149392,0.003134839,,0.003208962
7.357357357,0.003298965,0.003283587,0.003268186,0.003252872,0.003237653,0.003222532,0.003207516,0.003192608,0.003177811,0.003163131,0.003148569,,0.003222728
7.507507508,0.003312894,0.003297511,0.003282104,0.003266785,0.003251559,0.003236431,0.003221407,0.00320649,0.003191684,0.003176993,0.00316242,,0.003236625
7.657657658,0.003326968,0.003311578,0.003296163,0.003280835,0.0032656,0.003250463,0.003235428,0.003220501,0.003205684,0.003190981,0.003176395,,0.003250656
