ppm,600K,640K,680K,720K,760K,800K,840K,880K,920K,960K,1000K,,
5.705705706,0.003232929,0.003201497,0.003170303,0.003139294,0.003108347,0.003077846,0.00304783,0.003018329,0.002989222,0.002960485,0.002932327,,0.003078669
5.855855856,0.003245198,0.00321385,0.003182728,0.003151781,0.003120883,0.00309042,0.003060433,0.003030952,0.003001855,0.002973121,0.002944958,,0.003091225
6.006006006,0.003257609,0.003226335,0.003195279,0.003164386,0.003133531,0.003103103,0.00307314,0.003043675,0.003014587,0.002985852,0.002957683,,0.00310389
6.156156156,0.003270164,0.003238957,0.003207957,0.003177112,0.003146296,0.003115896,0.003085954,0.003056503,0.003027419,0.002998682,0.002970504,,0.003116667
6.306306306,0.003282867,0.003251716,0.003220766,0.003189963,0.003159178,0.003128803,0.003098878,0.003069436,0.003040355,0.003011612,0.002983423,,0.00312956
6.456456456,0.003295719,0.003264616,0.003233708,0.00320294,0.003172182,0.003141826,0.003111914,0.003082478,0.003053395,0.003024646,0.002996443,,0.003142569
6.606606607,0.003308722,0.003277659,0.003246786,0.003216046,0.003185309,0.003154968,0.003125064,0.00309563,0.003066544,0.003037784,0.003009566,,0.003155699
6.756756757,0.003321878,0.003290847,0.003260001,0.003229283,0.003198561,0.00316823,0.003138331,0.003108895,0.003079802,0.003051029,0.003022793,,0.003168951
6.906906907,0.003335189,0.003304182,0.003273357,0.003242654,0.003211942,0.003181616,0.003151716,0.003122276,0.003093172,0.003064383,0.003036128,,0.003182327
7.057057057,0.003348656,0.003317665,0.003286853,0.00325616,0.003225453,0.003195127,0.003165223,0.003135774,0.003106657,0.003077849,0.003049571,,0.003195829
7.207207207,0.003362281,0.003331298,0.003300493,0.003269804,0.003239095,0.003208765,0.003178853,0.003149392,0.003120258,0.003091429,0.003063125,,0.00320946
7.357357357,0.003376065,0.003345083,0.003314279,0.003283587,0.003252872,0.003222532,0.003192608,0.003163131,0.003133976,0.003105123,0.003076792,,0.003223221
7.507507508,0.003390009,0.003359021,0.003328211,0.003297511,0.003266785,0.003236431,0.00320649,0.003176993,0.003147816,0.003118935,0.003090574,,0.003237114
7.657657658,0.003404114,0.003373114,0.003342291,0.003311578,0.003280835,0.003250463,0.003220501,0.003190981,0.003161777,0.003132866,0.003104472,,0.003251141
7.807807808,0.003418381,0.003387362,0.003356521,0.003325789,0.003295024,0.003264629,0.003234642,0.003205096,0.003175862,0.003146918,0.003118489,,0.003265304
7.957957958,0.003432811,0.003401767,0.003370902,0.003340145,0.003309355,0.003278932,0.003248916,0.003219339,0.003190072,0.003161093,0.003132626,,0.003279604
8.108108108,0.003447405,0.00341633,0.003385435,0.003354649,0.003323827,0.003293373,0.003263325,0.003233714,0.003204411,0.003175392,0.003146885,,0.003294043
8.258258258,0.003462163,0.003431051,0.003400122,0.003369301,0.003338444,0.003307954,0.003277869,0.003248221,0.003218878,0.003189818,0.003161268,,0.003308623
8.408408408,0.003477087,0.003445933,0.003414963,0.003384104,0.003353206,0.003322676,0.003292551,0.003262862,0.003233477,0.003204372,0.003175776,,0.003323344
